ward_code,ward_name,ward_name_en,ward_full_name,ward_full_name_en,ward_type,province_code,province_name,province_name_en,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2
10183,Thường Tín,Thuong Tin,Xã Thường Tín,Thuong Tin Commune,Xã,01,Hà Nội,Hanoi,20.876972,105.8413,20.83571,20.904356,105.812663,105.875784,28.29
08995,Tiến Thắng,Tien Thang,Xã Tiến Thắng,Tien Thang Commune,Xã,01,Hà Nội,Hanoi,21.210612,105.690364,21.175517,21.239459,105.635817,105.747323,36.34
10081,Trần Phú,Tran Phu,Xã Trần Phú,Tran Phu Commune,Xã,01,Hà Nội,Hanoi,20.842393,105.650184,20.791789,20.882054,105.59896,105.690886,44.36
00385,Trung Giã,Trung Gia,Xã Trung Giã,Trung Gia Commune,Xã,01,Hà Nội,Hanoi,21.331728,105.830829,21.277616,21.385421,105.784674,105.899527,77.52
00592,Từ Liêm,Tu Liem,Phường Từ Liêm,Tu Liem Ward,Phường,01,Hà Nội,Hanoi,21.020338,105.770732,21.002017,21.041666,105.753737,105.792314,10.18
09604,Tùng Thiện,Tung Thien,Phường Tùng Thiện,Tung Thien Ward,Phường,01,Hà Nội,Hanoi,21.12138,105.457761,21.093403,21.15147,105.414563,105.506336,32.34
00322,Tương Mai,Tuong Mai,Phường Tương Mai,Tuong Mai Ward,Phường,01,Hà Nội,Hanoi,20.989351,105.853665,20.983555,20.997767,105.84103,105.875477,3.56
10402,Ứng Hoà,Ung Hoa,Xã Ứng Hoà,Ung Hoa Commune,Xã,01,Hà Nội,Hanoi,20.688834,105.848095,20.643107,20.741741,105.79048,105.90564,67.8
10369,Ứng Thiên,Ung Thien,Xã Ứng Thiên,Ung Thien Commune,Xã,01,Hà Nội,Hanoi,20.774072,105.758576,20.737005,20.809641,105.705244,105.806607,38.4
00226,Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam,Phường Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam Ward,Phường,01,Hà Nội,Hanoi,21.019941,105.837106,21.007713,21.030422,105.829761,105.841558,1.92
10354,Vân Đình,Van Dinh,Xã Vân Đình,Van Dinh Commune,Xã,01,Hà Nội,Hanoi,20.735098,105.766406,20.694533,20.778056,105.696437,105.820355,41.6
09664,Vật Lại,Vat Lai,Xã Vật Lại,Vat Lai Commune,Xã,01,Hà Nội,Hanoi,21.217143,105.391103,21.171431,21.252244,105.339274,105.446363,51.75
00127,Việt Hưng,Viet Hung,Phường Việt Hưng,Viet Hung Ward,Phường,01,Hà Nội,Hanoi,21.064841,105.903946,21.045757,21.07979,105.878063,105.932284,12.91
00301,Vĩnh Hưng,Vinh Hung,Phường Vĩnh Hưng,Vinh Hung Ward,Phường,01,Hà Nội,Hanoi,20.990627,105.882665,20.979572,21.002414,105.868914,105.895015,4.47
